LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND
11;3;3601243;2021;12;19;2;3;0;1;2;1;0;0;0;0;0;0
11;8;8100417;2021;12;17;3;3;6;7;1;0;1;1;0;0;0;1
11;6;6300526;2021;12;15;6;3;5;2;1;1;1;0;0;0;0;1
11;1;1200628;2021;12;8;2;3;2;6;0;0;1;0;0;0;0;1
11;5;5300737;2021;12;5;4;3;5;2;2;0;1;0;0;0;1;1
11;1;1100102;2021;12;12;7;3;6;6;0;1;0;1;0;0;0;1
11;12;12200412;2021;12;23;4;3;6;2;2;0;1;1;0;0;0;0
11;11;11200514;2021;12;18;5;3;6;2;2;0;1;1;0;0;0;0
11;4;4300622;2021;12;13;5;2;0;1;0;0;0;0;1;0;0;1
11;4;4300619;2021;11;9;2;3;2;2;0;0;1;0;0;0;0;1
11;4;4400728;2021;12;16;4;3;0;7;2;0;1;0;0;0;1;0
11;1;1300835;2021;12;20;4;3;2;6;2;0;1;0;0;0;0;1
11;6;6100209;2021;12;18;2;3;6;4;2;0;1;1;0;0;0;1
11;4;4200310;2021;12;17;6;3;0;1;2;0;0;0;1;0;0;0
11;8;8100208;2021;11;8;3;3;5;3;0;0;1;0;0;0;0;1
11;9;9501737;2021;12;15;2;3;5;3;0;1;1;0;0;0;0;0
11;11;11300619;2021;12;18;2;3;2;2;1;0;1;0;0;0;1;1
11;7;7601339;2021;11;16;2;2;6;4;2;0;1;1;0;0;0;1
11;4;4400835;2021;12;11;3;3;5;2;0;1;1;0;0;0;0;0
11;4;4501045;2021;12;20;5;3;2;6;2;1;1;0;0;0;0;1
11;10;10400940;2021;12;0;7;3;3;6;2;0;1;0;0;0;0;1
11;8;8100415;2021;11;12;3;3;5;7;0;0;1;0;0;0;0;1
11;2;2400521;2021;12;8;2;3;0;1;0;1;0;0;0;0;0;2
11;2;2200208;2021;12;12;2;3;2;6;0;0;1;0;0;0;0;1
11;1;1300730;2021;12;17;3;3;6;2;2;0;1;1;0;0;0;1
11;6;6200419;2021;12;18;4;2;5;3;2;0;1;0;0;0;0;0
11;2;2100106;2021;12;0;5;3;5;2;2;0;1;0;0;0;0;0
11;8;8200726;2021;12;15;2;3;2;7;1;0;1;0;0;0;0;0
11;7;7501031;2021;12;14;7;3;2;2;0;0;1;0;0;0;0;0
11;11;11501341;2021;12;18;4;3;2;6;2;0;1;0;0;0;0;1
11;1;1100207;2021;12;15;3;3;5;2;0;1;1;0;0;0;0;0
11;11;11100309;2021;12;19;5;3;6;4;2;0;1;1;0;0;0;0
11;4;4300623;2021;12;12;6;3;0;1;0;0;0;0;1;0;0;2
