LAND;BEZ;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LOCKDOWN;COVID
11;4;4501041.0;2021;12;16;4;3;5;3;1;0;1;0;0;0;0;1;1;2
11;6;6400735.0;2021;12;14;2;3;5;3;0;1;1;0;0;0;0;0;1;2
11;1;1100309.0;2021;12;19;4;3;5;7;2;1;1;0;0;0;0;1;1;2
11;5;5100316.0;2021;12;7;5;3;5;2;2;0;1;0;0;0;0;1;1;2
11;11;11200410.0;2021;12;12;6;3;5;7;0;0;1;0;0;0;0;1;1;2
11;1;1100309.0;2021;12;14;3;3;5;3;0;0;1;0;0;0;0;0;1;2
11;6;6200317.0;2021;12;12;5;3;5;3;0;0;1;0;0;0;0;1;1;2
11;4;4200308.0;2021;12;14;4;3;1;5;0;1;1;0;0;0;0;0;1;2
11;5;5300736.0;2021;12;7;7;2;1;1;1;0;1;0;0;0;0;1;1;2
11;10;10200627.0;2021;12;7;4;3;5;7;0;1;0;0;0;0;1;0;1;2
11;4;4501042.0;2021;12;21;5;3;2;6;2;0;1;0;0;0;0;1;1;2
11;11;11300618.0;2021;12;17;2;3;2;6;2;0;1;0;0;0;0;1;1;2
11;8;8200624.0;2021;12;0;7;3;5;3;2;0;1;0;0;0;0;2;1;2
11;11;11100205.0;2021;12;6;4;2;6;4;2;0;1;1;0;0;0;1;1;2
11;4;4501043.0;2021;12;9;3;3;1;5;0;1;1;0;0;0;0;0;1;2
11;1;1200623.0;2021;12;13;2;3;5;3;0;1;0;0;0;0;1;1;1;2
11;7;7400927.0;2021;12;17;5;3;2;6;2;0;1;0;0;0;0;0;1;2
11;5;5100316.0;2021;12;22;6;3;5;3;2;1;1;0;0;0;0;1;1;2
11;9;9200819.0;2021;12;20;2;3;0;1;2;1;0;0;0;0;0;1;1;2
11;6;6200311.0;2021;12;17;7;3;2;6;1;0;1;0;0;0;0;1;1;2
11;3;3601453.0;2021;12;10;3;3;5;3;0;0;1;0;0;0;0;0;1;2
11;5;5300735.0;2021;12;8;4;2;5;2;0;0;1;0;0;0;0;0;1;2
11;1;1400937.0;2021;12;16;7;3;6;2;1;0;1;1;0;0;0;1;1;2
11;8;8100314.0;2021;12;14;5;3;5;3;0;1;1;0;0;0;0;0;1;2
11;4;4400835.0;2021;11;14;2;3;1;5;0;1;1;0;0;0;0;1;0;2
11;1;1100207.0;2021;12;6;3;3;5;3;2;0;1;0;0;0;1;1;1;2
11;3;3501038.0;2021;12;15;1;3;1;5;1;1;1;0;0;0;0;0;1;2
11;1;1300733.0;2021;12;17;6;3;5;3;2;0;1;0;0;0;0;1;1;2
11;7;7200411.0;2021;12;13;3;3;5;2;0;1;0;0;0;0;1;1;1;2
11;5;5200629.0;2021;12;18;6;3;6;4;2;0;1;1;0;0;0;1;1;2
11;6;6300632.0;2021;12;19;1;3;1;5;2;0;1;0;0;0;0;1;1;2
11;7;7601339.0;2021;12;19;1;3;6;2;2;0;1;1;0;0;0;0;1;2
11;1;1300733.0;2021;11;22;3;3;6;4;2;0;0;1;0;0;1;1;0;2
11;9;9200510.0;2021;12;10;2;3;5;2;0;1;1;0;0;0;0;0;1;2
11;12;12601235.0;2021;12;8;5;3;6;2;0;0;0;1;0;0;1;1;1;2
11;10;10100311.0;2021;12;5;5;3;3;6;2;0;1;0;0;0;1;0;1;2
11;7;7601237.0;2021;12;16;1;3;6;2;2;0;1;1;0;0;0;1;1;2
11;6;6400843.0;2021;12;20;3;3;1;7;2;0;1;0;0;0;0;1;1;2
11;4;4100101.0;2021;12;13;7;3;5;2;0;0;1;0;0;0;0;1;1;2
11;1;1100308.0;2021;12;8;5;3;1;5;0;1;1;0;0;0;0;0;1;2
11;1;1200625.0;2021;12;6;4;3;5;3;2;1;0;0;0;0;1;2;1;2
11;8;8100521.0;2021;12;17;5;3;2;2;2;0;1;0;0;0;1;0;1;2
11;4;4200205.0;2021;12;9;5;3;2;2;0;0;1;0;0;0;0;1;1;2
11;1;1200623.0;2021;12;16;6;3;6;2;1;0;1;1;0;0;0;1;1;2
11;1;1100205.0;2021;12;11;2;3;5;2;0;1;1;0;0;0;0;0;1;2
11;10;10200630.0;2021;12;16;4;3;6;4;1;0;1;1;0;0;0;1;1;2
11;8;8100415.0;2021;12;16;2;3;3;6;1;0;1;0;0;1;0;1;1;2
11;2;2500727.0;2021;12;23;4;2;1;5;2;0;1;0;0;0;1;0;1;2
11;1;1300730.0;2021;12;17;6;2;5;5;2;0;1;0;0;0;0;0;1;2
11;4;4200308.0;2021;11;10;2;3;5;2;0;0;1;0;0;0;0;0;0;2
11;9;9301126.0;2021;12;23;1;3;5;3;2;0;1;0;0;0;1;1;1;2
11;3;3400830.0;2021;12;8;4;3;0;5;0;1;1;0;0;0;0;0;1;2
11;1;1200520.0;2021;12;20;7;3;6;4;2;0;0;1;0;0;1;1;1;2
11;1;1400937.0;2021;12;15;2;3;5;3;0;1;1;0;0;0;0;1;1;2
11;12;12100205.0;2021;12;12;4;3;1;5;0;0;1;0;0;0;1;0;1;2
11;1;1100309.0;2021;12;15;7;3;0;1;1;1;0;0;0;0;0;1;1;2
11;10;10200629.0;2021;12;12;5;3;5;2;0;0;1;0;0;0;0;0;1;2
11;3;3701555.0;2021;11;9;2;3;5;3;0;0;1;0;0;0;1;1;0;2
11;12;12500926.0;2021;12;19;1;3;6;4;2;0;1;1;0;0;0;1;1;2
11;2;2200208.0;2021;12;16;4;3;5;2;2;1;1;0;0;0;0;0;1;2
11;7;7100101.0;2021;12;16;6;3;6;2;2;0;1;1;0;0;0;1;1;2
11;10;10100206.0;2021;12;18;3;2;6;2;2;0;1;1;0;0;0;1;1;2
11;1;1401049.0;2021;12;22;6;2;0;1;2;0;1;0;0;1;0;1;1;2
11;4;4100101.0;2021;12;9;6;3;5;2;0;0;1;0;0;0;0;0;1;2
11;7;7400720.0;2021;12;13;2;3;6;7;0;0;0;1;0;0;1;1;1;2
11;4;4200310.0;2021;11;11;3;3;5;3;0;0;1;0;0;0;1;1;0;2
11;5;5100209.0;2021;12;13;2;3;6;7;0;0;1;1;0;0;0;0;1;2
11;6;6300633.0;2021;12;13;4;3;5;7;0;1;0;0;0;0;1;0;1;2
11;1;1100207.0;2021;12;12;4;3;5;3;0;1;1;0;0;0;0;0;1;2
11;5;5100316.0;2021;12;8;2;3;2;6;0;0;1;0;1;0;0;0;1;2
11;1;1300834.0;2021;12;23;4;3;1;5;2;1;1;0;0;0;0;1;1;2
11;6;6100103.0;2021;12;15;7;3;6;7;0;0;1;1;0;0;0;1;1;2
11;1;1100103.0;2021;12;12;4;3;2;6;0;0;1;0;0;0;0;0;1;2
11;2;2500832.0;2021;12;14;5;3;3;6;0;1;1;0;0;0;0;1;1;2
11;1;1100312.0;2021;12;6;6;3;2;2;2;0;1;0;0;0;0;0;1;2
11;6;6100204.0;2021;11;12;2;3;1;1;0;0;1;0;0;0;1;1;0;2
11;9;9200613.0;2021;12;13;3;2;6;7;0;1;0;1;0;0;0;0;1;2
11;1;1401047.0;2021;12;15;5;3;6;2;2;0;1;1;0;0;0;1;1;2
11;6;6100102.0;2021;12;16;6;3;6;7;2;0;1;1;0;0;0;1;1;2
11;8;8300934.0;2021;12;16;6;3;0;2;2;0;1;0;0;0;1;0;1;2
11;5;5100315.0;2021;12;18;4;3;5;2;2;0;1;0;0;0;1;1;1;2
11;3;3601141.0;2021;12;15;1;3;2;6;1;0;1;0;0;0;0;1;1;2
11;2;2100104.0;2021;12;18;2;3;0;6;2;0;1;0;1;0;0;1;1;2
11;6;6200421.0;2021;12;16;3;3;1;5;1;1;1;0;0;0;0;1;1;2
11;1;1200517.0;2021;12;21;5;3;0;7;2;0;0;0;0;0;1;0;1;2
11;5;5400943.0;2021;12;10;5;3;5;3;0;1;1;0;0;0;0;1;1;2
11;12;12601235.0;2021;12;10;2;3;5;3;0;0;1;0;0;0;0;1;1;2
